Date,Year,Month,Avg_Temp,Max_Temp,Min_Temp,Rain,Max_Wind,Avg_Wind,Avg_Gust,Sun_Hours,Clouds,Pressure,Snow
2015-05-01,2015,5,20.796774193548387,25.606451612903225,16.00967741935484,15.9,12.506451612903225,6.548387096774194,30.18064516129032,381.81465833333334,49.903225806451616,1013,0.0
2015-06-01,2015,6,23.473333333333336,28.28666666666667,18.59,33.7,12.343333333333334,6.65,30.67,415.67411944444444,39.3,1013,0.0
2015-07-01,2015,7,27.893548387096775,32.92903225806452,22.583870967741937,3.4,12.993548387096775,6.403225806451613,29.725806451612904,434.2672972222222,13.0,1013,0.0
2015-08-01,2015,8,27.370967741935484,32.08709677419355,22.690322580645162,32.800000000000004,11.116129032258065,5.84516129032258,27.22258064516129,399.73525,21.741935483870968,1013,0.0
2015-09-01,2015,9,23.373333333333335,27.613333333333333,19.703333333333333,82.5,11.306666666666667,6.34,27.113333333333333,294.6213833333333,43.333333333333336,1013,0.0
2015-10-01,2015,10,16.31290322580645,19.551612903225806,13.203225806451613,73.5,9.125806451612902,5.690322580645161,22.09032258064516,208.16605555555554,69.61290322580645,1013,0.0
2015-11-01,2015,11,12.656666666666666,18.223333333333336,8.043333333333333,40.3,9.933333333333334,6.39,22.07,254.47679166666666,31.7,1013,0.0
2015-12-01,2015,12,5.97741935483871,11.880645161290323,1.9,7.3,8.596774193548388,6.116129032258065,18.283870967741933,263.40039722222224,33.064516129032256,1013,0.42
2016-01-01,2016,1,4.880645161290323,9.751612903225807,0.9193548387096774,44.7,10.306451612903226,6.929032258064517,23.19677419354839,227.39580833333332,48.16129032258065,1013,2.52
2016-02-01,2016,2,10.441379310344828,15.451724137931036,6.051724137931035,38.3,11.272413793103448,6.955172413793103,25.989655172413794,207.85921944444445,56.793103448275865,1013,0.0
2016-03-01,2016,3,10.803225806451612,15.106451612903227,6.429032258064517,96.8,11.493548387096775,6.858064516129032,27.825806451612905,268.8172944444444,58.25806451612903,1013,0.0
2016-04-01,2016,4,16.976666666666667,22.096666666666668,11.83,9.5,13.146666666666667,7.25,30.766666666666666,357.0590833333333,39.333333333333336,1013,0.0
2016-05-01,2016,5,18.874193548387098,23.43548387096774,14.05483870967742,72.4,13.703225806451613,7.403225806451613,33.03225806451613,374.3135527777778,38.54838709677419,1013,0.0
2016-06-01,2016,6,25.82,30.546666666666667,20.58,22.8,11.446666666666665,6.333333333333333,30.203333333333333,423.204975,28.166666666666668,1013,0.0
2016-07-01,2016,7,27.758064516129032,32.56774193548387,22.65806451612903,1.9,13.229032258064517,7.541935483870968,32.66129032258065,434.55508055555555,15.741935483870968,1013,0.0
2016-08-01,2016,8,27.312903225806455,32.14193548387097,22.351612903225806,17.4,11.35483870967742,6.861290322580645,28.293548387096774,398.87340555555556,27.483870967741936,1013,0.0
2016-09-01,2016,9,22.16,26.69,17.720000000000002,19.099999999999998,10.273333333333333,5.8966666666666665,27.293333333333333,317.2640138888889,44.8,1013,0.0
2016-10-01,2016,10,16.306451612903224,19.651612903225807,13.070967741935483,56.9,9.816129032258065,5.9,24.59032258064516,190.919375,58.67741935483871,1013,0.0
2016-11-01,2016,11,10.576666666666666,14.823333333333332,6.923333333333334,25.9,9.966666666666667,6.473333333333333,22.666666666666668,214.3177861111111,56.63333333333333,1013,0.42
2016-12-01,2016,12,3.9612903225806453,9.287096774193548,0.0967741935483871,0.7,11.890322580645162,8.05483870967742,26.032258064516128,252.00015277777777,32.903225806451616,1013,0.0
2017-01-01,2017,1,0.6903225806451613,4.948387096774193,-2.2774193548387096,69.5,15.30967741935484,11.112903225806452,35.87419354838709,172.43989166666668,62.25806451612903,1013,15.89
2017-02-01,2017,2,7.4071428571428575,12.932142857142859,3.442857142857143,29.0,12.339285714285714,7.5321428571428575,29.289285714285715,206.6448,52.642857142857146,1013,0.0
2017-03-01,2017,3,11.790322580645162,17.606451612903225,6.974193548387096,72.1,15.64516129032258,9.109677419354838,38.0,299.1932361111111,44.645161290322584,1013,0.0
2017-04-01,2017,4,13.923333333333334,19.776666666666664,8.736666666666668,34.6,16.2,9.783333333333333,39.90333333333333,352.70871944444445,33.6,1013,0.0
2017-05-01,2017,5,19.141935483870967,24.796774193548387,14.154838709677419,138.9,14.058064516129033,7.912903225806452,35.748387096774195,363.4427333333333,46.54838709677419,1013,0.0
2017-06-01,2017,6,24.523333333333333,30.34,18.953333333333333,50.8,14.483333333333333,7.983333333333333,35.24,414.5211611111111,32.86666666666667,1013,0.0
2017-07-01,2017,7,26.216129032258067,32.148387096774194,20.783870967741933,84.69999999999999,15.996774193548386,8.970967741935485,39.019354838709674,408.6300861111111,19.516129032258064,1013,0.0
2017-08-01,2017,8,26.993548387096773,33.09032258064516,21.396774193548385,33.0,15.76774193548387,8.864516129032259,38.193548387096776,398.8732777777778,13.419354838709678,1013,0.0
2017-09-01,2017,9,22.163333333333334,27.903333333333332,17.46333333333333,12.1,13.75,7.85,33.91,321.97785,25.5,1013,0.0
2017-10-01,2017,10,16.0,22.019354838709678,11.483870967741936,32.900000000000006,15.167741935483871,9.516129032258064,35.829032258064515,297.6554361111111,35.096774193548384,1013,0.0
2017-11-01,2017,11,10.95,15.543333333333331,7.5,106.2,14.593333333333334,9.433333333333334,33.983333333333334,204.36978055555556,54.43333333333333,1013,0.0
2017-12-01,2017,12,7.532258064516129,12.374193548387098,3.851612903225807,46.00000000000001,17.07741935483871,11.525806451612903,39.093548387096774,228.42324722222222,36.935483870967744,1013,2.8
2018-01-01,2018,1,5.783870967741936,10.958064516129031,1.7580645161290323,22.5,14.52258064516129,8.754838709677419,32.71935483870968,212.19824166666666,50.45161290322581,1013,0.0
2018-02-01,2018,2,7.55,11.239285714285714,4.275,112.8,15.635714285714286,9.674999999999999,37.85,139.06441666666666,73.5,1013,10.22
2018-03-01,2018,3,11.019354838709678,16.10967741935484,6.606451612903226,74.4,14.63225806451613,7.980645161290322,37.94516129032258,244.2934611111111,58.32258064516129,1013,0.14
2018-04-01,2018,4,17.09,23.65666666666667,11.486666666666668,13.3,12.66,6.926666666666667,32.22666666666667,344.5556222222222,37.8,1013,0.0
2018-05-01,2018,5,20.96451612903226,26.1,16.225806451612904,85.7,12.5,6.416129032258064,32.20967741935484,381.68833611111114,49.483870967741936,1013,0.0
2018-06-01,2018,6,23.363333333333333,28.416666666666668,18.8,148.0,14.79,8.013333333333334,36.96,367.04028611111113,52.2,1013,0.0
2018-07-01,2018,7,26.141935483870967,31.432258064516127,21.35483870967742,46.800000000000004,15.058064516129033,9.109677419354838,37.10967741935484,424.5931611111111,23.06451612903226,1013,0.0
2018-08-01,2018,8,26.061290322580643,31.387096774193548,21.219354838709677,21.7,12.832258064516129,7.193548387096774,31.48709677419355,394.9197472222222,28.93548387096774,1013,0.0
2018-09-01,2018,9,22.433333333333334,28.166666666666668,17.62,29.299999999999997,16.096666666666668,9.55,37.943333333333335,327.87469166666665,27.533333333333335,1013,0.0
2018-10-01,2018,10,17.103225806451615,22.845161290322583,12.896774193548387,7.5,12.72258064516129,7.183870967741935,31.748387096774195,293.3915083333333,36.58064516129032,1013,0.0
2018-11-01,2018,11,12.03,16.406666666666666,8.55,81.1,12.683333333333334,7.41,30.310000000000002,208.97618055555557,67.3,1013,0.0
2018-12-01,2018,12,5.032258064516129,9.82258064516129,1.6290322580645162,40.7,16.4,10.906451612903227,37.13548387096775,226.20378888888888,45.83870967741935,1013,0.14
2019-01-01,2019,1,3.3548387096774195,7.580645161290323,0.0774193548387097,127.5,17.76451612903226,11.983870967741936,42.61612903225806,181.73929166666667,62.38709677419355,1013,22.61
2019-02-01,2019,2,7.067857142857143,12.571428571428571,2.914285714285714,18.0,16.814285714285713,11.382142857142856,39.478571428571435,221.38221944444444,46.82142857142857,1013,4.76
2019-03-01,2019,3,11.748387096774193,18.416129032258063,6.267741935483872,26.3,13.890322580645162,7.761290322580645,33.53225806451613,315.9173166666667,41.806451612903224,1013,0.0
2019-04-01,2019,4,13.826666666666666,19.13,9.196666666666665,95.3,13.653333333333332,6.9,34.89,308.4094,55.13333333333333,1013,0.0
